study_id,site_id,site_name,investigator,country,region,lat,lon,status,activation_date,days_to_activate,patients_screened,patients_enrolled,screen_fail_rate,enrollment_rate_per_month,target_enrollment,quality_score,query_rate_per_100_crfs,protocol_deviations,major_deviations,monitoring_visits_completed,monitoring_visits_planned,last_monitoring_visit
BIO-2025-373,SITE-1121,Translational Research Hospital - Argentina,Dr. O'Brien,Argentina,Latin America,-40.456360750921704,-64.74127284474541,Active,2023-04-21,90,17,12,30.8,2.66,71,0.825,5.1,1,0,3,14,2026-01-07
BIO-2025-373,SITE-1122,Institute of Clinical Sciences - Argentina,Dr. Fischer,Argentina,Latin America,-35.7900334089674,-64.01675874295687,Pending,2023-04-28,97,4,3,31.8,1.03,57,0.545,8.6,1,0,8,16,2026-01-11
BIO-2025-373,SITE-1123,Translational Research Hospital - Canada,Dr. Fischer,Canada,North America,53.71872817444846,-106.01329183370008,Closed,2023-04-05,74,16,13,18.9,1.73,54,0.673,5.6,4,2,2,15,2026-01-24
BIO-2025-373,SITE-1124,Community Health Network - India,Dr. Rossi,India,Asia-Pacific,21.77478486593267,78.64813327000955,Active,2023-03-30,68,6,5,26.0,0.46,54,0.533,5.5,1,1,5,7,2026-01-22
BIO-2025-373,SITE-1125,Translational Research Hospital - United States,Dr. Petrov,United States,North America,42.468417552698476,-97.08078862999125,Pending,2023-05-14,113,20,19,5.0,3.81,36,1.0,3.3,0,0,6,9,2026-01-10
BIO-2025-373,SITE-1126,Teaching Hospital - Canada,Dr. Johnson,Canada,North America,53.71135860523762,-109.25008034663685,Active,2023-04-13,82,32,27,16.4,5.26,30,1.0,5.1,3,0,11,10,2026-01-19
BIO-2025-373,SITE-1127,Memorial Cancer Center - Brazil,Dr. O'Brien,Brazil,Latin America,-17.105120822602228,-54.43712898876251,Pending,2023-06-18,148,20,15,28.0,2.08,44,0.327,6.7,2,1,2,8,2025-12-17
BIO-2025-373,SITE-1128,Memorial Cancer Center - France,Dr. Dubois,France,Europe,47.627504360124156,2.328694145001281,Active,2023-05-05,104,29,24,19.2,2.67,45,0.786,6.5,0,0,9,11,2026-01-01
BIO-2025-373,SITE-1129,Center for Advanced Medicine - India,Dr. O'Brien,India,Asia-Pacific,18.806592364656005,79.44139595490536,Active,2023-05-22,121,22,18,21.1,2.98,50,0.9,4.3,0,1,8,9,2026-01-16
BIO-2025-373,SITE-1130,Metropolitan Hospital - France,Dr. Mueller,France,Europe,48.08475411354697,3.310805859246905,Active,2023-05-15,114,12,10,20.1,2.52,41,0.967,1.2,0,0,4,17,2026-01-17
BIO-2025-373,SITE-1131,Teaching Hospital - Argentina,Dr. Chen,Argentina,Latin America,-39.488346223418354,-61.17864933940482,Active,2023-04-24,93,0,0,28.5,0.05,69,0.709,5.5,3,0,7,11,2026-01-03
BIO-2025-373,SITE-1132,Medical Research Clinic - Japan,Dr. Lee,Japan,Asia-Pacific,34.57758896452381,135.9053078009013,Active,2023-02-20,30,15,11,27.8,1.94,26,0.783,3.5,1,0,2,10,2026-02-07
BIO-2025-373,SITE-1133,National Medical Center - Brazil,Dr. Nakamura,Brazil,Latin America,-13.858729340967423,-52.405349378860066,Active,2023-04-14,83,4,3,25.5,0.47,54,0.644,1.2,1,0,10,13,2025-12-28
BIO-2025-373,SITE-1134,Biomedical Research Institute - Germany,Dr. Mueller,Germany,Europe,49.325898300393824,10.446830383752676,Active,2023-04-13,82,9,7,25.0,1.53,26,0.555,8.0,0,0,1,16,2026-01-19
BIO-2025-373,SITE-1135,University Medical Center - South Africa,Dr. Williams,South Africa,Africa,-28.30464073936592,22.697858536841018,Active,2023-04-29,98,46,40,13.9,5.54,46,0.97,8.0,2,0,8,7,2025-12-24
BIO-2025-373,SITE-1136,Medical Research Clinic - United Kingdom,Dr. Garcia,United Kingdom,Europe,52.71228206634376,-4.182554803439361,Active,2023-04-27,96,28,19,33.5,3.42,63,0.413,3.2,3,0,10,16,2026-01-12
BIO-2025-373,SITE-1137,Metropolitan Hospital - South Africa,Dr. Lee,South Africa,Africa,-32.75805289083891,23.926944840278132,Active,2023-03-29,67,16,13,21.0,3.29,64,0.692,8.2,2,0,7,17,2026-02-04
BIO-2025-373,SITE-1138,Center for Advanced Medicine - Brazil,Dr. Rossi,Brazil,Latin America,-14.882728043097815,-51.36897038904607,Active,2023-03-08,46,16,14,14.0,2.47,57,0.697,6.9,3,0,2,17,2026-02-03
BIO-2025-373,SITE-1139,Health Sciences Center - Brazil,Dr. Petrov,Brazil,Latin America,-13.032154246637631,-53.58770632201244,Active,2023-02-25,35,32,19,41.1,1.81,39,0.594,5.7,2,1,7,10,2026-01-29
BIO-2025-373,SITE-1140,Academic Health System - Poland,Dr. Rossi,Poland,Europe,49.10205842324678,21.37511463560749,Active,2023-05-11,110,0,0,28.5,0.0,54,0.746,7.0,1,0,8,7,2025-12-27
BIO-2025-373,SITE-1141,General Hospital - Japan,Dr. Taylor,Japan,Asia-Pacific,35.024181634688,137.10862668142082,Closed,2023-06-16,146,0,0,21.8,0.36,72,1.0,5.3,8,0,5,8,2025-12-21
BIO-2025-373,SITE-1142,Center for Advanced Medicine - South Africa,Dr. Patel,South Africa,Africa,-29.355617999802433,22.23538283015073,Active,2023-03-18,56,4,4,14.7,1.21,57,0.917,5.1,0,0,8,16,2025-12-29
BIO-2025-373,SITE-1143,Community Health Network - United Kingdom,Dr. O'Brien,United Kingdom,Europe,56.19183374061289,-4.748270719288839,Active,2023-04-03,72,17,17,5.0,2.9,59,0.844,7.7,3,0,4,6,2026-01-29
BIO-2025-373,SITE-1144,Health Sciences Center - Argentina,Dr. Lopez,Argentina,Latin America,-37.89300122681526,-61.59724829448704,Active,2023-05-05,104,11,9,21.0,2.12,30,1.0,7.9,5,0,11,13,2025-12-31
BIO-2025-373,SITE-1145,Academic Health System - Argentina,Dr. Brown,Argentina,Latin America,-37.25272914368075,-62.9817626696803,Active,2023-05-15,114,31,21,32.6,3.33,74,0.781,7.2,3,1,5,9,2026-01-05
BIO-2025-373,SITE-1146,National Medical Center - Australia,Dr. Garcia,Australia,Asia-Pacific,-25.661557080952548,132.47021088997596,Active,2023-03-05,43,2,2,22.9,0.68,42,0.638,4.5,0,1,8,13,2026-02-03
BIO-2026-489,SITE-1147,Teaching Hospital - France,Dr. Dubois,France,Europe,43.69363394566238,1.9575043432817383,Active,2023-04-24,79,15,13,16.5,2.05,61,0.836,0.0,0,0,10,10,2025-12-19
BIO-2026-489,SITE-1148,Teaching Hospital - Germany,Dr. Williams,Germany,Europe,51.05541442451979,10.299085179882011,Active,2023-05-29,114,13,8,42.4,1.7,40,0.702,10.5,4,0,3,7,2026-01-28
BIO-2026-489,SITE-1149,General Hospital - United States,Dr. Mueller,United States,North America,37.8970266792129,-96.545734290636,Active,2023-05-07,92,25,24,5.0,2.99,66,0.756,9.0,3,0,8,12,2026-02-05
BIO-2026-489,SITE-1150,Community Health Network - France,Dr. Petrov,France,Europe,48.44443063983111,0.6980137164413811,Active,2023-06-09,125,20,16,21.5,4.0,23,0.601,3.4,2,0,10,7,2025-12-26
BIO-2026-489,SITE-1151,University Medical Center - United States,Dr. Rossi,United States,North America,39.379911284726354,-97.91853585672007,Closed,2023-04-15,70,7,6,18.9,0.42,59,0.808,0.0,0,1,2,16,2026-01-23
BIO-2026-489,SITE-1152,General Hospital - France,Dr. Nakamura,France,Europe,45.89423260758076,0.6248713405135451,Active,2023-05-11,96,4,4,19.0,0.9,57,0.583,12.2,2,0,9,14,2026-02-05
BIO-2026-489,SITE-1153,Biomedical Research Institute - Japan,Dr. Petrov,Japan,Asia-Pacific,38.968953947444675,139.20720744020488,Pending,2023-04-18,73,8,7,13.7,1.62,35,0.682,8.8,3,0,1,11,2026-01-25
BIO-2026-489,SITE-1154,General Hospital - France,Dr. Anderson,France,Europe,43.67363641767933,1.856788819262425,Active,2023-07-20,166,15,10,33.7,2.01,39,0.526,5.5,2,0,8,6,2026-02-01
BIO-2026-489,SITE-1155,Institute of Clinical Sciences - Germany,Dr. Taylor,Germany,Europe,50.51443755579587,12.707521329377682,Pending,2023-03-16,40,11,8,28.0,0.62,65,0.742,6.5,0,0,7,12,2025-12-27
BIO-2026-489,SITE-1156,Regional Research Institute - United Kingdom,Dr. Martinez,United Kingdom,Europe,52.93511941526745,-1.1618836358217037,Active,2023-05-23,108,18,11,41.7,1.47,56,0.685,5.4,1,0,8,7,2026-02-03
BIO-2026-489,SITE-1157,National Medical Center - United Kingdom,Dr. Rossi,United Kingdom,Europe,54.84128749595138,-1.6385760727671905,Active,2023-03-23,47,25,21,17.8,3.06,59,0.64,4.3,1,1,8,7,2025-12-20
BIO-2026-489,SITE-1158,Health Sciences Center - United States,Dr. Fischer,United States,North America,41.80754571557163,-99.34999205996996,Pending,2023-05-11,96,22,17,25.2,2.37,49,0.68,1.8,2,0,8,11,2026-01-17
BIO-2026-489,SITE-1159,Regional Research Institute - India,Dr. Fischer,India,Asia-Pacific,23.168611013058722,80.9691739649378,Active,2023-04-19,74,0,0,21.1,0.0,34,0.779,6.3,1,0,3,16,2025-12-28
BIO-2026-489,SITE-1160,Teaching Hospital - United States,Dr. Tanaka,United States,North America,39.315097255412724,-100.49077806540089,Pending,2023-04-02,57,17,11,35.3,1.65,49,0.952,7.2,1,0,6,13,2026-01-20
BIO-2026-489,SITE-1161,Clinical Research Center - Japan,Dr. Singh,Japan,Asia-Pacific,38.26799545454135,137.78781023804606,Active,2023-03-31,55,2,2,13.9,1.02,66,0.412,3.0,2,1,10,7,2026-01-29
BIO-2026-489,SITE-1162,Clinical Research Center - Germany,Dr. Mueller,Germany,Europe,53.78053746815345,9.801273655098033,Active,2023-05-27,112,2,2,5.5,0.97,35,0.772,0.0,4,0,11,15,2026-02-10
BIO-2026-489,SITE-1163,Teaching Hospital - United Kingdom,Dr. Taylor,United Kingdom,Europe,56.843697869653,-1.012212118913269,Active,2023-03-27,51,26,17,35.7,3.2,41,0.641,6.1,1,0,7,14,2026-01-19
BIO-2026-489,SITE-1164,Center for Advanced Medicine - France,Dr. Yamamoto,France,Europe,46.64369919641406,1.557370653359074,Active,2023-05-03,88,17,14,20.4,2.67,50,0.607,4.9,1,0,6,14,2025-12-31
BIO-2026-489,SITE-1165,National Medical Center - Japan,Dr. Schmidt,Japan,Asia-Pacific,35.66297476436333,136.18001988853433,Active,2023-05-06,91,10,8,24.6,1.78,38,0.49,9.5,2,0,4,10,2026-02-05
BIO-2026-489,SITE-1166,Health Sciences Center - India,Dr. Brown,India,Asia-Pacific,18.851530206446306,77.67835204125171,Pending,2023-04-05,60,16,12,26.4,2.33,49,0.674,2.0,4,0,9,11,2026-01-08
BIO-2026-489,SITE-1167,Comprehensive Care Center - Germany,Dr. Taylor,Germany,Europe,53.05638810728971,11.438552785467301,Active,2023-05-20,105,39,33,16.3,4.22,41,0.985,2.4,1,0,4,12,2026-02-02
BIO-2026-489,SITE-1168,Center for Advanced Medicine - India,Dr. Singh,India,Asia-Pacific,22.53963927608018,79.23714415578007,Active,2023-04-13,68,8,6,27.5,0.58,24,0.307,8.7,2,0,2,17,2026-01-13
BIO-2026-489,SITE-1169,National Medical Center - United Kingdom,Dr. Chen,United Kingdom,Europe,56.05198101972672,-1.9175303972258262,Active,2023-06-01,117,8,7,18.2,0.88,26,0.634,7.5,1,0,6,14,2026-01-24
BIO-2026-489,SITE-1170,Metropolitan Hospital - Germany,Dr. Patel,Germany,Europe,50.658390140809736,10.688871216368133,Active,2023-05-21,106,17,14,22.1,2.47,37,0.433,4.4,0,0,9,7,2026-01-15
BIO-2026-489,SITE-1171,Clinical Research Center - United States,Dr. Mueller,United States,North America,38.32181333308423,-96.96199438250268,Active,2023-06-10,126,4,3,28.2,0.54,66,0.741,4.4,6,1,5,13,2025-12-24
BIO-2026-489,SITE-1172,Institute of Clinical Sciences - France,Dr. Patel,France,Europe,45.10957224831436,4.565590709538484,Active,2023-05-13,98,21,17,19.4,2.22,36,0.739,6.9,0,2,11,6,2025-12-22
BIO-2026-489,SITE-1173,Memorial Cancer Center - Japan,Dr. Lee,Japan,Asia-Pacific,34.028092922120315,135.68623166279033,Active,2023-05-23,108,1,1,17.4,0.46,69,0.754,4.1,2,0,11,11,2026-01-18
BIO-2026-489,SITE-1174,Academic Health System - Japan,Dr. Schmidt,Japan,Asia-Pacific,37.360532768337855,139.4036689783667,Active,2023-03-06,30,35,27,24.1,5.05,64,0.897,4.2,3,0,6,8,2026-01-06
BIO-2026-489,SITE-1175,Teaching Hospital - Japan,Dr. Kim,Japan,Asia-Pacific,39.05283816988413,138.0449857776319,Active,2023-04-24,79,2,2,29.5,0.51,25,1.0,2.0,2,0,10,16,2026-02-02
BIO-2026-489,SITE-1176,Metropolitan Hospital - France,Dr. Tanaka,France,Europe,44.33961681874537,3.4104296432635435,Active,2023-03-17,41,20,19,7.4,2.89,40,0.777,9.7,2,1,5,10,2025-12-29
BIO-2026-489,SITE-1177,Biomedical Research Institute - India,Dr. Mueller,India,Asia-Pacific,20.310436855888664,78.02837134038128,Active,2023-06-10,126,13,10,23.4,1.48,28,0.865,8.0,1,0,8,14,2025-12-24
BIO-2026-489,SITE-1178,Metropolitan Hospital - France,Dr. Yamamoto,France,Europe,46.690419884527124,1.6087706745342594,Active,2023-04-11,66,0,0,40.8,0.44,29,0.582,11.0,4,0,5,17,2026-01-10
BIO-2026-489,SITE-1179,Comprehensive Care Center - United States,Dr. Tanaka,United States,North America,40.48640004458794,-98.35801950367234,Active,2023-06-03,119,7,5,31.8,0.85,45,0.762,3.0,2,0,9,9,2026-01-14
BIO-2026-489,SITE-1180,Clinical Research Center - France,Dr. Johnson,France,Europe,46.82000517727221,4.01010575914783,Active,2023-05-25,110,13,9,35.3,1.87,43,0.652,4.3,1,1,5,14,2026-01-02
BIO-2026-489,SITE-1181,General Hospital - United Kingdom,Dr. Kim,United Kingdom,Europe,57.71441965666405,-4.10070780431649,Active,2023-05-15,100,16,13,20.1,2.48,44,0.518,8.5,0,0,11,15,2026-02-02
BIO-2026-489,SITE-1182,Teaching Hospital - United States,Dr. Anderson,United States,North America,37.78777056955201,-99.00925036279168,Active,2023-05-05,90,0,0,18.6,0.24,45,0.627,2.7,2,0,10,11,2026-01-12
BIO-2026-489,SITE-1183,Comprehensive Care Center - India,Dr. Mueller,India,Asia-Pacific,17.906901233722387,78.28676064557459,Active,2023-04-17,72,25,18,30.5,3.2,46,0.518,5.4,0,0,8,13,2025-12-20
BIO-2026-489,SITE-1184,Clinical Research Center - Germany,Dr. Patel,Germany,Europe,49.211661102001244,10.64762066565007,Active,2023-06-30,146,24,18,25.2,2.13,25,0.574,10.1,1,0,11,13,2025-12-19
BIO-2027-826,SITE-1185,Teaching Hospital - Argentina,Dr. Kim,Argentina,Latin America,-39.041117223035904,-65.17845603661966,Active,2024-06-14,75,2,2,30.0,0.74,5,0.726,3.7,1,1,2,7,2026-02-03
BIO-2027-826,SITE-1186,Community Health Network - Canada,Dr. Chen,Canada,North America,55.558037215755114,-103.43067598884065,Active,2024-08-11,133,30,24,21.7,3.66,9,0.637,4.0,2,1,2,17,2025-12-20
BIO-2027-826,SITE-1187,Health Sciences Center - Spain,Dr. Anderson,Spain,Europe,37.466471315565855,-2.3189592801359407,Active,2024-08-06,128,17,12,29.8,2.21,7,0.631,6.3,1,0,5,14,2026-01-03
BIO-2027-826,SITE-1188,Metropolitan Hospital - Spain,Dr. Dubois,Spain,Europe,39.290063043100545,-5.352385359550691,Active,2024-07-30,121,0,0,11.4,0.0,10,0.6,7.8,2,0,3,15,2026-02-06
BIO-2027-826,SITE-1189,Community Health Network - Argentina,Dr. Patel,Argentina,Latin America,-39.67089284424282,-66.56121385326173,Active,2024-05-21,51,15,12,23.9,1.96,5,0.928,2.5,1,1,6,11,2025-12-30
BIO-2027-826,SITE-1190,Institute of Clinical Sciences - Argentina,Dr. Garcia,Argentina,Latin America,-39.9188578344256,-64.76150730389378,Active,2024-08-31,153,14,12,16.1,1.63,8,0.741,7.6,1,0,10,11,2026-01-12
BIO-2027-826,SITE-1191,Comprehensive Care Center - South Korea,Dr. Martinez,South Korea,Asia-Pacific,38.21548397298455,129.5964742540601,Active,2024-08-05,127,23,21,12.1,2.29,9,0.646,2.2,0,1,9,13,2026-02-10
BIO-2027-826,SITE-1192,Institute of Clinical Sciences - South Korea,Dr. Dubois,South Korea,Asia-Pacific,33.684303941538545,128.73025315546437,Active,2024-06-21,82,10,8,21.1,1.5,8,0.546,7.1,1,0,10,12,2026-02-07
BIO-2027-826,SITE-1193,National Medical Center - South Africa,Dr. Thompson,South Africa,Africa,-32.10876107443544,21.801655730603688,Active,2024-06-13,74,11,11,7.2,1.36,10,0.944,7.3,0,0,7,16,2026-02-03
BIO-2027-826,SITE-1194,Center for Advanced Medicine - Argentina,Dr. Johnson,Argentina,Latin America,-41.36916223448664,-63.92754287336528,Active,2024-06-24,85,1,1,29.4,0.26,8,0.714,3.8,1,0,7,16,2026-02-05
BIO-2027-826,SITE-1195,Academic Health System - South Africa,Dr. Yamamoto,South Africa,Africa,-28.622623705901702,24.156332930946316,Active,2024-05-25,55,13,10,28.4,1.64,10,0.904,7.6,2,0,1,17,2026-01-20
BIO-2027-826,SITE-1196,Biomedical Research Institute - India,Dr. Lopez,India,Asia-Pacific,23.4546729112936,78.11481716285523,Active,2024-07-04,95,24,19,22.8,2.88,6,0.611,5.2,2,1,2,7,2025-12-21
BIO-2027-826,SITE-1197,National Medical Center - Canada,Dr. Williams,Canada,North America,55.612170859966106,-107.98219042843259,Active,2024-07-05,96,18,12,35.5,1.63,10,0.579,5.1,4,0,6,11,2026-01-10
BIO-2027-826,SITE-1198,Teaching Hospital - Canada,Dr. Patel,Canada,North America,53.42298314945076,-108.16074802542448,Active,2024-07-17,108,5,4,33.3,1.11,6,0.885,6.1,2,1,2,11,2026-01-31
BIO-2027-826,SITE-1199,Medical Research Clinic - Spain,Dr. Williams,Spain,Europe,37.44189357128209,-4.279114185838003,Active,2024-06-22,83,27,22,18.9,4.34,9,0.921,5.1,2,0,4,13,2026-01-17
BIO-2027-826,SITE-1200,Translational Research Hospital - Japan,Dr. Patel,Japan,Asia-Pacific,38.23998656362606,137.23593701393426,Active,2024-05-21,51,16,12,26.2,3.51,11,0.583,4.1,1,2,6,12,2026-01-19
BIO-2027-826,SITE-1201,Memorial Cancer Center - United States,Dr. Tanaka,United States,North America,42.408773104956694,-96.04478718276108,Active,2024-07-16,107,13,11,16.1,2.49,10,0.777,8.9,0,0,5,12,2025-12-31
BIO-2027-826,SITE-1202,Memorial Cancer Center - Argentina,Dr. Rossi,Argentina,Latin America,-40.69066552756524,-64.19101433661075,Active,2024-07-03,94,13,12,11.1,1.67,5,0.51,1.3,1,1,1,12,2026-01-21
BIO-2027-826,SITE-1203,Biomedical Research Institute - United Kingdom,Dr. Chen,United Kingdom,Europe,53.48012918387693,-4.975100168983696,Active,2024-07-09,100,19,16,16.8,1.23,8,0.87,6.4,4,0,8,14,2026-01-12
BIO-2027-826,SITE-1204,National Medical Center - Spain,Dr. Anderson,Spain,Europe,39.18786341297506,-6.161442996639058,Pending,2024-06-13,74,6,5,23.7,1.16,3,0.542,0.0,3,0,9,17,2026-01-20
BIO-2027-826,SITE-1205,Regional Research Institute - South Korea,Dr. Martinez,South Korea,Asia-Pacific,35.91204918643509,128.1987669407172,Active,2024-05-30,60,7,6,21.8,1.04,4,1.0,9.9,0,1,11,17,2026-01-07
BIO-2027-826,SITE-1206,Memorial Cancer Center - Canada,Dr. Schmidt,Canada,North America,57.97084031010532,-107.24890574849645,Active,2024-06-02,63,36,26,28.0,2.66,10,0.776,0.0,1,1,3,13,2025-12-23
BIO-2027-826,SITE-1207,Teaching Hospital - India,Dr. Kim,India,Asia-Pacific,22.096216619869743,79.17417581287816,Active,2024-06-19,80,5,4,30.7,1.9,5,0.868,6.9,3,0,10,14,2025-12-30
BIO-2028-747,SITE-1208,Institute of Clinical Sciences - United States,Dr. Lee,United States,North America,41.694472283756724,-97.91612573001572,Active,2023-09-23,109,25,18,29.7,2.91,22,0.642,9.6,1,1,3,11,2026-01-24
BIO-2028-747,SITE-1209,Clinical Research Center - United Kingdom,Dr. Garcia,United Kingdom,Europe,57.87158128918383,-1.9675389423044183,Active,2023-09-28,114,19,17,14.0,3.92,18,0.868,3.4,1,1,10,17,2026-01-06
BIO-2028-747,SITE-1210,Regional Research Institute - Australia,Dr. Martinez,Australia,Asia-Pacific,-23.93421317380187,136.33562254256375,Active,2023-09-20,106,20,15,25.7,2.62,25,0.616,6.7,0,0,8,8,2026-02-02
BIO-2028-747,SITE-1211,Metropolitan Hospital - Spain,Dr. Lee,Spain,Europe,42.93587083762143,-3.6857690801674274,Active,2023-07-23,47,10,5,50.0,1.06,29,0.441,6.1,1,0,6,17,2026-01-22
BIO-2028-747,SITE-1212,Metropolitan Hospital - Australia,Dr. Singh,Australia,Asia-Pacific,-25.447684867867107,135.49800138808322,Active,2023-08-21,76,17,13,26.4,1.94,22,0.674,4.5,0,0,10,16,2026-02-03
BIO-2028-747,SITE-1213,Institute of Clinical Sciences - Spain,Dr. Petrov,Spain,Europe,37.99696801323779,-2.10042433172769,Closed,2023-08-20,75,2,2,27.0,0.75,34,0.738,3.3,2,0,4,6,2025-12-28
BIO-2028-747,SITE-1214,National Medical Center - South Korea,Dr. Martinez,South Korea,Asia-Pacific,38.37680480244717,128.36217804690895,Active,2023-11-07,154,21,18,14.4,3.04,17,0.899,2.8,1,1,3,15,2026-01-04
BIO-2028-747,SITE-1215,Community Health Network - United Kingdom,Dr. Taylor,United Kingdom,Europe,57.579026487648804,-2.5079022798558133,Pending,2023-10-07,123,20,16,20.8,2.29,26,0.786,6.2,2,0,5,7,2026-01-29
BIO-2028-747,SITE-1216,Institute of Clinical Sciences - Canada,Dr. Schmidt,Canada,North America,55.39279745295593,-107.48914378202383,Active,2023-08-11,66,20,11,45.5,1.45,23,0.707,0.2,4,0,5,11,2025-12-23
BIO-2028-747,SITE-1217,Translational Research Hospital - Germany,Dr. Schmidt,Germany,Europe,53.827323054505,12.911129616623107,Active,2023-11-01,148,5,4,27.9,0.82,19,0.656,0.0,1,0,7,17,2026-01-10
BIO-2028-747,SITE-1218,Translational Research Hospital - Poland,Dr. Yamamoto,Poland,Europe,49.25074792342126,17.899576384838397,Active,2023-09-23,109,6,4,39.5,0.54,15,0.949,6.4,0,0,10,6,2025-12-27
BIO-2028-747,SITE-1219,Comprehensive Care Center - United Kingdom,Dr. Taylor,United Kingdom,Europe,58.17419104475,-3.875580624588299,Active,2023-10-24,140,14,12,18.6,2.18,33,1.0,8.0,0,0,10,14,2025-12-28
BIO-2028-747,SITE-1220,Comprehensive Care Center - South Korea,Dr. Dubois,South Korea,Asia-Pacific,38.73107180795291,127.7756914646192,Active,2023-08-19,74,7,6,23.7,1.13,22,0.916,0.0,2,1,3,7,2026-01-30
BIO-2028-747,SITE-1221,Clinical Research Center - Poland,Dr. Thompson,Poland,Europe,52.029305903465804,16.847884573956883,Closed,2023-08-20,75,34,28,17.9,3.27,26,0.519,4.5,2,1,5,6,2026-02-04
BIO-2028-747,SITE-1222,Translational Research Hospital - France,Dr. Johnson,France,Europe,48.65319243791402,3.9111393065370477,Active,2023-08-13,68,3,3,20.2,0.84,34,0.804,12.0,3,0,8,12,2025-12-23
BIO-2028-747,SITE-1223,Health Sciences Center - Poland,Dr. Johnson,Poland,Europe,49.28340565229024,16.54600765331643,Active,2023-09-13,99,29,22,26.2,2.92,32,0.72,0.0,2,0,8,12,2025-12-27
BIO-2028-747,SITE-1224,Regional Research Institute - Argentina,Dr. Thompson,Argentina,Latin America,-37.0010377311792,-60.627470922447266,Active,2023-08-17,72,15,14,10.4,2.07,24,0.653,8.4,3,0,1,12,2026-01-08
BIO-2028-747,SITE-1225,Memorial Cancer Center - Japan,Dr. Brown,Japan,Asia-Pacific,34.76509547577253,135.2545222097073,Active,2023-10-30,146,20,13,36.8,1.58,23,0.544,6.6,1,0,2,16,2026-01-16
BIO-2028-747,SITE-1226,Community Health Network - United States,Dr. Williams,United States,North America,38.26397181411483,-95.69959463478935,Closed,2023-07-18,42,28,19,33.6,2.08,17,0.803,4.1,1,0,4,12,2026-01-24
BIO-2028-747,SITE-1227,Biomedical Research Institute - Spain,Dr. Tanaka,Spain,Europe,39.830648327527136,-6.683751101077288,Active,2023-09-16,102,3,3,17.4,1.39,20,0.704,3.7,3,0,7,12,2026-01-10
BIO-2028-747,SITE-1228,University Medical Center - Germany,Dr. Tanaka,Germany,Europe,48.63739614589787,11.692184691373338,Active,2023-07-20,44,9,7,28.3,1.14,29,0.749,2.8,1,0,10,14,2026-01-17
BIO-2028-747,SITE-1229,Community Health Network - South Korea,Dr. Patel,South Korea,Asia-Pacific,32.95896531541872,127.15509552475093,Active,2023-08-29,84,5,5,9.0,0.49,28,0.655,7.2,1,0,10,11,2025-12-28
BIO-2028-747,SITE-1230,Center for Advanced Medicine - United Kingdom,Dr. Lopez,United Kingdom,Europe,55.252010376592494,-4.5385882975317715,Active,2023-08-22,77,14,12,19.0,1.46,23,0.885,10.1,3,0,9,7,2025-12-25
BIO-2028-747,SITE-1231,Biomedical Research Institute - Spain,Dr. Garcia,Spain,Europe,40.864120407318005,-2.821555748631466,Active,2023-10-01,117,0,0,29.8,0.0,24,0.565,4.5,2,0,7,7,2026-01-06
BIO-2028-747,SITE-1232,General Hospital - Germany,Dr. Patel,Germany,Europe,53.36276537139101,10.569135570538137,Active,2023-07-11,35,0,0,23.8,0.19,14,0.629,6.2,2,0,7,17,2025-12-22
BIO-2028-747,SITE-1233,Metropolitan Hospital - Argentina,Dr. Tanaka,Argentina,Latin America,-38.61599743082144,-61.86542333010746,Active,2023-09-21,107,20,13,36.1,2.01,27,0.689,3.1,1,0,6,15,2026-02-02
BIO-2028-747,SITE-1234,General Hospital - United Kingdom,Dr. Thompson,United Kingdom,Europe,52.88210930942253,-6.014568544857244,Active,2023-08-16,71,18,15,20.4,1.81,31,0.541,5.8,1,1,9,7,2026-01-10
BIO-2028-747,SITE-1235,Comprehensive Care Center - Australia,Dr. Lopez,Australia,Asia-Pacific,-25.60577343778023,133.55582212927845,Active,2023-10-05,121,6,6,9.7,1.32,27,0.72,6.6,0,0,6,15,2025-12-17
BIO-2028-747,SITE-1236,National Medical Center - United Kingdom,Dr. Anderson,United Kingdom,Europe,54.9282644554323,-4.345629260224841,Active,2023-10-11,127,15,13,17.7,2.71,13,0.447,1.4,0,0,10,15,2026-01-15
BIO-2028-747,SITE-1237,Medical Research Clinic - Germany,Dr. Patel,Germany,Europe,52.15717447813924,12.55160064189499,Closed,2023-10-12,128,8,7,20.0,1.41,26,0.922,5.9,2,0,4,14,2025-12-21
BIO-2028-747,SITE-1238,Community Health Network - South Korea,Dr. Taylor,South Korea,Asia-Pacific,37.633562143693275,129.3474324990462,Active,2023-09-20,106,23,17,28.2,2.11,26,0.943,8.9,1,1,10,6,2026-01-20
BIO-2028-747,SITE-1239,Comprehensive Care Center - Canada,Dr. Patel,Canada,North America,58.541913110629466,-108.28750336961062,Closed,2023-09-18,104,17,10,41.2,1.47,22,0.565,7.0,2,0,4,17,2026-01-31
BIO-2028-747,SITE-1240,Teaching Hospital - France,Dr. Williams,France,Europe,45.39539579170685,0.5763610129262924,Active,2023-10-04,120,7,6,17.3,0.97,13,0.742,3.4,2,0,7,11,2026-01-18
BIO-2028-747,SITE-1241,Community Health Network - India,Dr. Thompson,India,Asia-Pacific,22.742581637659498,80.80264259500058,Active,2023-08-03,58,21,20,5.0,2.98,23,0.716,1.7,0,1,7,17,2026-01-09
